order,family,taxon_name,siteID,genus_taxized,n,n_wolbachia,tray,well
Coleoptera,Elmidae,Narpus sp.,BLDE,Narpus,57,5,,
Diptera,Psychodidae,Pericoma/Telmatoscopus sp.,BLDE,Pericoma,30,5,,
Plecoptera,Chloroperlidae,Sweltsa sp.,BLDE,Sweltsa,57,5,,
Diptera,Chironomidae,Chironomini sp.,BLUE,NA,8,5,,
Megaloptera,Corydalidae,Corydalus sp.,BLUE,Corydalus,6,5,,
Trichoptera,Hydropsychidae,Cheumatopsyche sp.,HOPB,Cheumatopsyche,99,5,,
Trichoptera,Hydropsychidae,Cheumatopsyche sp.,MCDI,Cheumatopsyche,36,5,,
Ephemeroptera,Baetidae,Fallceon sp.,MCDI,Fallceon,40,5,,
Diptera,Simuliidae,Simulium sp.,MCDI,Simulium,23,5,,
Ephemeroptera,Heptageniidae,Maccaffertium sp.,HOPB,Maccaffertium,36,4,,
Plecoptera,Chloroperlidae,Sweltsa sp.,MART,Sweltsa,27,4,,
Ephemeroptera,Heptageniidae,Stenonema femoratum,MCDI,Stenonema,54,4,,
Ephemeroptera,Ameletidae,Ameletus sp.,MCRA,Ameletus,75,4,,
Plecoptera,Chloroperlidae,Sweltsa sp.,BIGC,Sweltsa,41,3,,
Diptera,Tipulidae,Tipulidae sp.,BIGC,NA,7,3,,
Ephemeroptera,Heptageniidae,Leucrocuta sp.,BLUE,Leucrocuta,9,3,,
Coleoptera,Elmidae,Stenelmis sp.,BLUE,Stenelmis,106,3,,
Ephemeroptera,Leptophlebiidae,Paraleptophlebia sp.,HOPB,Paraleptophlebia,8,3,,
Diptera,Ceratopogonidae,Probezzia sp.,HOPB,Probezzia,4,3,,
Odonata,Gomphidae,Gomphidae sp.,BIGC,NA,15,2,,
Ephemeroptera,Ephemeridae,Ephemera sp.,BLUE,Ephemera,2,2,,
Trichoptera,Glossosomatidae,Glossosoma sp.,HOPB,Glossosoma,68,2,,
Plecoptera,Chloroperlidae,Alloperla sp.,LECO,Alloperla,8,2,,
Coleoptera,Elmidae,Narpus sp.,MART,Narpus,2,2,,
Diptera,Tipulidae,Tipula sp.,MCDI,Tipula,2,2,,
Trichoptera,Hydropsychidae,Arctopsychinae sp.,MCRA,NA,4,2,,
Plecoptera,Perlodidae,Kogotus sp.,MCRA,Kogotus,2,2,,
Plecoptera,Perlidae,Perlidae sp.,MCRA,NA,53,2,,
Odonata,Cordulegastridae,Cordulegaster sp.,BIGC,Cordulegaster,2,1,,
Plecoptera,Leuctridae,Leuctridae sp.,BIGC,NA,2,1,,
Ephemeroptera,Baetidae,Acentrella sp.,BLDE,Acentrella,4,1,,
Trichoptera,Brachycentridae,Micrasema sp.,BLDE,Micrasema,75,1,,
Plecoptera,Perlidae,Acroneuria sp.,LECO,Acroneuria,14,1,,
Coleoptera,Ptilodactylidae,Anchytarsus bicolor,LECO,Anchytarsus,11,1,,
Diptera,Dixidae,Dixa sp.,LECO,Dixa,9,1,,
Plecoptera,Pteronarcyidae,Pteronarcys sp.,LECO,Pteronarcys,6,1,,
Diptera,Ceratopogonidae,Ceratopogoninae sp.,LEWI,NA,95,1,,
Diptera,Chironomidae,Chironomidae sp.,LEWI,NA,3,1,,
Diptera,Tabanidae,Tabanidae sp.,LEWI,NA,31,1,,
Ephemeroptera,Ephemerellidae,Drunella doddsii,MART,Drunella,28,1,,
Coleoptera,Psephenidae,Ectopria sp.,MART,Ectopria,1,1,,
Diptera,Tipulidae,Tipula sp.,MART,Tipula,2,1,,
Ephemeroptera,Heptageniidae,Epeorus sp.,MCRA,Epeorus,39,1,,
Coleoptera,Elmidae,Optioservus sp.,POSE,Optioservus,168,1,,
Ephemeroptera,Leptophlebiidae,Paraleptophlebia sp.,POSE,Paraleptophlebia,12,1,,
