#SampleID	BarcodeSequence	InputFileName	LinkerPrimerSequence	Locations	Family	taxa_location	Functional_group	Description
BIGC.A71		BIGC_A71		BIGC	Tipulidae	BIGC_TIPU	Collector/Filterers	Aquatic
BIGC.A72		BIGC_A72		BIGC	Cordulegastridae	BIGC_CORD	Predators	Aquatic
BIGC.A73		BIGC_A73		BIGC	Gomphidae	BIGC_GOMP	Predators	Aquatic
BIGC.A74		BIGC_A74		BIGC	Chloroperlidae	BIGC_SWEL	Omnivores	Aquatic
BIGC.A75		BIGC_A75		BIGC	Leuctridae	BIGC_LEUC	Shredders	Aquatic
MART.B1		MART_B1		MART	Tipulidae	MART_TIPU	Collector/Filterers	Aquatic
MART.B2		MART_B2		MART	Chloroperlidae	MART_SWEL	Omnivores	Aquatic
MART.B3		MART_B3		MART	Ephemerellidae	MART_DRUN	Collector/Gatherers	Aquatic
MART.B4		MART_B4		MART	Elmidae	MART_NARP	Collector/Gatherers	Aquatic
MART.B5		MART_B5		MART	Psephenidae	MART_ECTO	Collector/Gatherers	Aquatic
POSE.B11		POSE_B11		POSE	Elmidae	POSE1_OPTI	Collector/Gatherers	Aquatic
POSE.B12		POSE_B12.merged.fasta		POSE	Leptophlebiidae	POSE2_PARA	Collector/Gatherers	Aquatic
CR.1		CR_1.merged.fasta		OMAHA	Gryllidae	CR	Herbivores	Terrestrial
CR.2		CR_2.merged.fasta		OMAHA	Gryllidae	CR	Herbivores	Terrestrial
CR.3		CR_3.merged.fasta		OMAHA	Gryllidae	CR	Herbivores	Terrestrial
CR.4		CR_4.merged.fasta		OMAHA	Gryllidae	CR	Herbivores	Terrestrial
CR.5		CR_5.merged.fasta		OMAHA	Gryllidae	CR	Herbivores	Terrestrial
CR.6		CR_6.merged.fasta		OMAHA	Gryllidae	CR	Herbivores	Terrestrial
C.1		C_1.merged.fasta		OMAHA	Blattidae	C	Omnivores	Terrestrial
BT.1		BT_1.merged.fasta		OMAHA	Carabidae	BT	Predators	Terrestrial
BT.2		BT_2.merged.fasta		OMAHA	Carabidae	BT	Predators	Terrestrial
GR.1		GR_1.merged.fasta		OMAHA	Acrididae	GR	Herbivores	Terrestrial
CENTI.1		CENTI_1.merged.fasta		OMAHA	Scutigeridae	CENTI	Predators	Terrestrial
CENTI.2		CENTI_2.merged.fasta		OMAHA	Scutigeridae	CENTI	Predators	Terrestrial
SB.1		SB_1.merged.fasta		OMAHA	Oniscidae	SB	Detritivores	Terrestrial
SB.2		SB_2.merged.fasta		OMAHA	Oniscidae	SB	Detritivores	Terrestrial
SB.3		SB_3.merged.fasta		OMAHA	Oniscidae	SB	Detritivores	Terrestrial
SB.4		SB_4.merged.fasta		OMAHA	Oniscidae	SB	Detritivores	Terrestrial
SB.5		SB_5.merged.fasta		OMAHA	Oniscidae	SB	Detritivores	Terrestrial
BT.3		BT_3.merged.fasta		OMAHA	Carabidae	BT	Predators	Terrestrial
GR.2		GR_2.merged.fasta		OMAHA	Acrididae	GR	Herbivores	Terrestrial
SC.1		SC_1.merged.fasta		LINC	Carabidae	SC	Predators	Terrestrial
SC.2		SC_2.merged.fasta		LINC	Carabidae	SC	Predators	Terrestrial
SC.3		SC_3.merged.fasta		LINC	Carabidae	SC	Predators	Terrestrial
SA.2		SA_2.merged.fasta		LINC	Aphididae	SA	Herbivores	Terrestrial
SA.4		SA_4.merged.fasta		LINC	Aphididae	SA	Herbivores	Terrestrial
SA.5		SA_5.merged.fasta		LINC	Aphididae	SA	Herbivores	Terrestrial
DP.1		DP_1.merged.fasta		OMAHA	Blattidae	DP	Omnivores	Terrestrial
