id,tray,well,order,family,taxon_name,siteID,genus_taxized,n,n_wolbachia,short_taxon,note
MCDI_A32_Tipu,A,32,Diptera,Tipulidae,Tipula sp.,MCDI,Tipula,2,2,Tipu,sent to Scot on June 25 2021
MCDI_A33_Sten,A,33,Ephemeroptera,Heptageniidae,Stenonema femoratum,MCDI,Stenonema,54,4,Sten,sent to Scot on June 25 2021
MCDI_A34_Cheu,A,34,Trichoptera,Hydropsychidae,Cheumatopsyche sp.,MCDI,Cheumatopsyche,36,5,Cheu,sent to Scot on June 25 2021
MCDI_A35_Fall,A,35,Ephemeroptera,Baetidae,Fallceon sp.,MCDI,Fallceon,40,5,Fall,sent to Scot on June 25 2021
HOPB_A41_Cheu,A,41,Trichoptera,Hydropsychidae,Cheumatopsyche sp.,HOPB,Cheumatopsyche,99,5,Cheu,sent to Scot on June 25 2021
HOPB_A42_Glos,A,42,Trichoptera,Glossosomatidae,Glossosoma sp.,HOPB,Glossosoma,68,2,Glos,sent to Scot on June 25 2021
HOPB_A43_Macc,A,43,Ephemeroptera,Heptageniidae,Maccaffertium sp.,HOPB,Maccaffertium,36,4,Macc,sent to Scot on June 25 2021
HOPB_A44_Para,A,44,Ephemeroptera,Leptophlebiidae,Paraleptophlebia sp.,HOPB,Paraleptophlebia,8,3,Para,sent to Scot on June 25 2021
HOPB_A45_Prob,A,45,Diptera,Ceratopogonidae,Probezzia sp.,HOPB,Probezzia,4,3,Prob,sent to Scot on June 25 2021
BLDE_A51_Micr,A,51,Trichoptera,Brachycentridae,Micrasema sp.,BLDE,Micrasema,75,1,Micr,sent to Scot on June 25 2021
BLDE_A52_Acen,A,52,Ephemeroptera,Baetidae,Acentrella sp.,BLDE,Acentrella,4,1,Acen,sent to Scot on June 25 2021
BLDE_A53_Peri,A,53,Diptera,Psychodidae,Pericoma/Telmatoscopus sp.,BLDE,Pericoma,30,5,Peri,sent to Scot on June 25 2021
BLDE_A54_Swel,A,54,Plecoptera,Chloroperlidae,Sweltsa sp.,BLDE,Sweltsa,57,5,Swel,sent to Scot on June 25 2021
BLDE_A55_Narp,A,55,Coleoptera,Elmidae,Narpus sp.,BLDE,Narpus,57,5,Narp,sent to Scot on June 25 2021
LECO_A61_Dixa,A,61,Diptera,Dixidae,Dixa sp.,LECO,Dixa,9,1,Dixa,sent to Scot on June 25 2021
LECO_A62_Anch,A,62,Coleoptera,Ptilodactylidae,Anchytarsus bicolor,LECO,Anchytarsus,11,1,Anch,sent to Scot on June 25 2021
LECO_A63_Pter,A,63,Plecoptera,Pteronarcyidae,Pteronarcys sp.,LECO,Pteronarcys,6,1,Pter,sent to Scot on June 25 2021
LECO_A64_Acro,A,64,Plecoptera,Perlidae,Acroneuria sp.,LECO,Acroneuria,14,1,Acro,sent to Scot on June 25 2021
